trial,model,task,latency,temperature,id,result,quality,generation_accuracy,variance,review_accuracy,accuracy,elapsed,strategy,created
Trial_27 0,o1-mini,"generate a concise, clinically formal summary",17.0,1.0,Item_1,"Patient is a 76-year-old white female with a medical history of hypertension, osteoarthritis, osteoporosis, hypothyroidism, allergic rhinitis, and kidney stones. She presents today for a refill of her blood pressure medication. She reports no new concerns, changes in her chronic conditions, or symptoms such as fever, chills, cough, congestion, nausea, vomiting, chest pain, or chest pressure.",9.7507561682,1.0,0.0002511712591138,0.9027943999563024,0.9756985999890756,26s,REMOTE,2025-08-30 16:21:19
Trial_27 0,o4-mini,"generate a concise, clinically formal summary",24.0,1.0,Item_3,"A 76-year-old white female with hypertension, osteoarthritis, osteoporosis, hypothyroidism, allergic rhinitis, and nephrolithiasis presents for a refill of her antihypertensive medication. She reports no new concerns and denies fever, chills, cough, congestion, nausea, vomiting, chest pain, or chest pressure. This represents a routine follow-up visit.",10.0,1.0,0.0011464191489732,0.7923279595914302,0.9480819898978576,26s,REMOTE,2025-08-30 16:21:19
Trial_27 0,gpt-4o,"generate a concise, clinically formal summary",3.0,0.6,Item_0,"The patient, a 76-year-old white female, returned to the clinic for a refill of her blood pressure medication. She has a history of hypertension, osteoarthritis, osteoporosis, hypothyroidism, allergic rhinitis, and kidney stones. She reported no changes or concerns regarding these issues and denied experiencing fever, chills, cough, congestion, nausea, vomiting, chest pain, or chest pressure.",9.9093852659,1.0,0.0043719609286341,0.5944499585009761,0.8986124896252441,26s,REMOTE,2025-08-30 16:21:19
Trial_27 0,claude-3-5-sonnet-latest,"generate a concise, clinically formal summary",5.0,0.7,Item_2,"76-year-old female with multiple chronic conditions including hypertension, osteoarthritis, osteoporosis, hypothyroidism, allergic rhinitis, and history of kidney stones. Patient denies any acute symptoms including fever, chills, cough, congestion, nausea, vomiting, chest pain, or chest pressure. Currently presenting for routine medication refill for hypertension management.",9.9141208552,1.0,0.0002858270700844,0.8963049577485261,0.9740762394371316,26s,REMOTE,2025-08-30 16:21:19
Trial_27 0,o3-mini,"generate a concise, clinically formal summary",18.0,1.0,Item_4,"The 76-year-old white female patient presented for a blood pressure medication refill. She has a documented history of hypertension, osteoarthritis, osteoporosis, hypothyroidism, allergic rhinitis, and kidney stones, as noted during her previous consultation with Doctor Kumar. No new symptoms or changes in her condition were reported at this visit.",9.7566191228,1.0,0.0017404355936061,0.7441206184579902,0.9360301546144976,26s,REMOTE,2025-08-30 16:21:19
Trial_27 1,claude-3-7-sonnet-20250219,"generate a concise, clinically formal summary",5.0,0.7,Item_3,"25-year-old patient presents to the ER with sudden-onset headache described as ""the worst headache of my life,"" which began yesterday at approximately 11:00. Associated symptoms include blurry vision, lightheadedness with blind spots, difficulty writing, and facial swelling. Patient is awaiting CT results and has been prescribed a migraine cocktail and morphine for symptom management.",9.6820386686,1.0,0.3584190499031472,0.0,0.75,27s,REMOTE,2025-08-30 16:21:48
Trial_27 1,o3-mini,"generate a concise, clinically formal summary",20.0,1.0,Item_4,"A 25-year-old patient presents with a severe headache that began yesterday, accompanied by blurry vision, lightheadedness described as blind spots, and difficulty with writing. The patient also reported concurrent facial swelling without vomiting. A migraine cocktail and morphine were ordered while further evaluation, including CT imaging, is underway.",9.6900026306,1.0,0.3801448716985465,0.0,0.75,27s,REMOTE,2025-08-30 16:21:48
Trial_27 1,o4-mini,"generate a concise, clinically formal summary",30.0,1.0,Item_0,"A 25-year-old patient presented with an acute onset severe headache that began abruptly at 11:00 AM on July 31. The headache is accompanied by blurry vision, lightheadedness with transient blind spots, and new onset facial swelling. The patient reports dysgraphia affecting the dominant hand. No vomiting reported.",8.899116649,1.0,0.7751648909865252,0.0,0.75,27s,REMOTE,2025-08-30 16:21:48
Trial_27 1,o1-mini,"generate a concise, clinically formal summary",19.0,1.0,Item_2,"A 25-year-old patient presents with a sudden onset headache starting on July 31 around 11 AM, described as severe and associated with blurry vision, lightheadedness (blind spots), and difficulty writing. The patient also reports facial swelling without vomiting. In the ER, a CT scan along with a migraine cocktail and morphine have been ordered for pain management.",9.5661177622,1.0,0.1674288101225532,0.2043880582137536,0.8010970145534384,27s,REMOTE,2025-08-30 16:21:48
Trial_27 1,claude-3-5-sonnet-latest,"generate a concise, clinically formal summary",4.0,0.7,Item_1,"25-year-old patient presents to the ER with sudden-onset severe headache that began July 31 at 1100 hours. Associated symptoms include blurred vision, lightheadedness with scotomas, and right-sided dysgraphia. Patient also reports facial swelling concurrent with headache onset. No vomiting reported.",9.487145635,1.0,0.1118474202184467,0.3497218172490087,0.8374304543122522,27s,REMOTE,2025-08-30 16:21:48
